trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-2.800224819882558,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-78.48493348048409,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-158.7536448393093,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-183.00258542825802,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-124.97670654340044,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-41.86225058207712,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-133.16937189264578,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-115.31502272385134,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-55.173596893572174,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,1,-125.67242176225493,"{0: 17, 1: 6, 2: 4, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-106.30245689123473,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-161.80256409706433,"{0: 19, 1: 5, 2: 6, 3: 5, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-62.63695862137135,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-67.86467267454952,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-150.77635383035883,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-50.530770366590346,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-45.67592041122976,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-120.72018985810436,"{0: 12, 1: 8, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-85.6747948861742,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,-221.95455738751045,"{0: 17, 1: 2, 2: 11, 3: 4, 4: 1}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",30,0,-222.05269673694022,"{0: 13, 1: 3, 2: 10, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",20,0,-60.31027132221856,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",25,0,-197.0849641793104,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",20,10,-28.924946592533026,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",20,0,-40.83355090872884,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",25,0,-73.53981471169186,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,0,-103.4190430350975,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",30,0,-73.64066832307176,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",20,0,-144.08227406357028,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",30,0,-95.96005109480625,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
