trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9995}",20,2,-57.458725093619236,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 0}",1
2,False,"{'a': 0.4, 'e': 0.9990000000000001}",35,0,-79.80751730283869,"{0: 26, 1: 4, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.4, 'e': 0.9985000000000002}",20,0,-129.6827020463223,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
4,False,"{'a': 0.4, 'e': 0.9980000000000002}",35,0,-153.91221785909678,"{0: 22, 1: 4, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.4, 'e': 0.9975000000000003}",25,9,-62.885794073411795,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 1}",1
6,False,"{'a': 0.4, 'e': 0.9970000000000003}",20,15,4.099392667513077,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.4, 'e': 0.9965000000000004}",25,0,-51.41898567179645,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.9960000000000004}",20,0,-103.10331253172014,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
9,False,"{'a': 0.4, 'e': 0.9955000000000005}",20,8,-61.09568885936812,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.4, 'e': 0.9950000000000006}",25,0,-199.6664319451665,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
11,False,"{'a': 0.4, 'e': 0.9945000000000006}",25,0,-147.74269436855354,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
12,False,"{'a': 0.4, 'e': 0.9940000000000007}",25,0,-97.76492459410622,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
13,False,"{'a': 0.4, 'e': 0.9935000000000007}",20,0,-115.85413023278383,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.4, 'e': 0.9930000000000008}",30,0,-124.01011733460183,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.9925000000000008}",20,4,-98.7084272881643,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 2}",1
16,False,"{'a': 0.4, 'e': 0.9920000000000009}",30,0,-114.92963830854802,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.9915000000000009}",25,0,-202.42014504785993,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
18,False,"{'a': 0.4, 'e': 0.991000000000001}",30,0,-75.24150035621115,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
19,False,"{'a': 0.4, 'e': 0.990500000000001}",20,10,-14.117326371244866,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.4, 'e': 0.9900000000000011}",25,0,-111.77673474293975,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.4, 'e': 0.9895000000000012}",35,0,-154.13153398572342,"{0: 21, 1: 4, 2: 8, 3: 0, 4: 2}",0
22,False,"{'a': 0.4, 'e': 0.9890000000000012}",20,0,-104.22725808662176,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
