trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-298.4832481676849,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-133.4537209493363,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,15,2.0256586171706936,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-71.21905158780405,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,8,-172.30265957788268,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 3}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-102.40961822003455,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-93.52744021745791,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-104.68832920366931,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-105.48706869075008,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-109.78879853761804,"{0: 12, 1: 3, 2: 1, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-153.70232710228174,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-227.82537361041972,"{0: 8, 1: 6, 2: 1, 3: 0, 4: 5}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-159.87549281465243,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-92.98662899590131,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,1,-97.53868385733317,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-144.30626577702083,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-49.021777099709425,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-122.00913720805616,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,2,-50.84269901782956,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-64.17727631765982,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,0,-97.63097086813548,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",35,0,-194.01927856748847,"{0: 18, 1: 0, 2: 15, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-142.05450139753745,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-97.14235786782916,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-126.05885884866844,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-117.14414766593751,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-217.5384917010589,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",20,0,-34.85245326391607,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-87.14345542261619,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,-146.67995688738736,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
